name,note,Alias,Source,PlateLayout,Ignore,Parent1,Parent2,Group,rQTLgroup,Background,MAT,GenotypeFile,ho-,HYG+,G418+,leu-,lys-,met-,ura-
An,,An; NA; YPS128,OS104,FSparents.xlsx,FALSE,,,An,,AA,ab,01fc genotypes.csv,0,0,0,1,1,1,0
En,,En; WE; DBVPG6765,OS3,FSparents.xlsx,FALSE,,,En,,EE,ab,01fc genotypes.csv,0,0,0,1,1,1,0
Sn,,Sn; SA; Y12,OS253,FSparents.xlsx,FALSE,,,Sn,,SS,ab,01fc genotypes.csv,0,0,0,1,1,1,0
Wn,,Wn; WA; DBVPG6044,OS60,FSparents.xlsx,FALSE,,,Wn,,WW,ab,01fc genotypes.csv,0,0,0,1,1,1,0
Aa,,Aa; OS104a,OS104,FSparents.xlsx,FALSE,,,Aa,,A,a,01fc genotypes.csv,1,1,1,1,1,1,1
Ea,,Ea; OS3a,OS3,FSparents.xlsx,FALSE,,,Ea,,E,a,01fc genotypes.csv,1,1,1,1,1,1,1
Sa,,Sa; OS253a,OS253,FSparents.xlsx,FALSE,,,Sa,,S,a,01fc genotypes.csv,1,1,1,1,1,1,1
Wa,,Wa; OS60a,OS60,FSparents.xlsx,FALSE,,,Wa,,W,a,01fc genotypes.csv,1,1,1,1,1,1,1
Ab,b=alpha,Ab; OS104alpha,OS104,FSparents.xlsx,FALSE,,,Ab,,A,b,01fc genotypes.csv,1,1,1,1,1,1,1
Eb,b=alpha,Eb; OS3alpha,OS3,FSparents.xlsx,FALSE,,,Eb,,E,b,01fc genotypes.csv,1,1,1,1,1,1,1
Sb,b=alpha,Sb; OS253alpha,OS253,FSparents.xlsx,FALSE,,,Sb,,S,b,01fc genotypes.csv,1,1,1,1,1,1,1
Wb,b=alpha,Wb; OS60alpha,OS60,FSparents.xlsx,FALSE,,,Wb,,W,b,01fc genotypes.csv,1,1,1,1,1,1,1
AaD,D=delta,AaD,elOS600,FSparents.xlsx,FALSE,,,AaD,,A,a,01fc genotypes.csv,1,1,0,0,1,0,1
EaD,D=delta,EaD,elOS586,FSparents.xlsx,FALSE,,,EaD,,E,a,01fc genotypes.csv,1,1,0,0,1,0,1
SaD,D=delta,SaD,elOS616??,FSparents.xlsx,FALSE,,,SaD,,S,a,01fc genotypes.csv,1,1,0,0,1,,1
WaD,D=delta,WaD,elOS592,FSparents.xlsx,FALSE,,,WaD,,W,a,01fc genotypes.csv,1,1,0,0,1,0,1
AbD,"b=alpha, D=delta",AbD,elOS605,FSparents.xlsx,FALSE,,,AbD,,A,b,01fc genotypes.csv,1,1,0,0,0,1,1
EbD,"b=alpha, D=delta",EbD,elOS590,FSparents.xlsx,FALSE,,,EbD,,E,b,01fc genotypes.csv,1,1,0,0,0,1,1
SbD,"b=alpha, D=delta",SbD,elOS617,FSparents.xlsx,FALSE,,,SbD,,S,b,01fc genotypes.csv,1,1,0,0,0,1,1
WbD,"b=alpha, D=delta",WbD,elOS597,FSparents.xlsx,FALSE,,,WbD,,W,b,01fc genotypes.csv,1,1,0,0,0,1,1
AbxSa,Cross 0,AbxSa; CC12F,"Ab,Sa",,FALSE,Ab,Sa,0,,AS,ab,01fc genotypes.csv,1,1,1,1,1,1,1
AaxEb,Cross 1,AaxEb; CC20F,"Aa,Eb",,FALSE,Aa,Eb,1,,AE,ab,01fc genotypes.csv,1,1,1,1,1,1,1
AaxWb,Cross 2,AaxWb; CC22F,"Aa,Wb",,FALSE,Aa,Wb,2,,AW,ab,01fc genotypes.csv,1,1,1,1,1,1,1
EaxSb,Cross 3,EaxSb; CC28F,"Ea,Sb",,FALSE,Ea,Sb,3,,ES,ab,01fc genotypes.csv,1,1,1,1,1,1,1
EbxWa,Cross 4,EbxWa; CC24F,"Eb,Wa",,FALSE,Eb,Wa,4,,EW,ab,01fc genotypes.csv,1,1,1,1,1,1,1
SaxWb,Cross 5,SaxWb; CC16F,"Sa,Wb",,FALSE,Sa,Wb,5,,SW,ab,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc001,,FS001; NAxSA_01,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,a,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc002,,FS002; NAxSA_02,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,a,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc003,,FS003; NAxSA_03,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,b,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc004,,FS004; NAxSA_04,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,b,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc005,,FS005; NAxSA_05,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,a,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc006,,FS006; NAxSA_06,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,b,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc007,,FS007; NAxSA_07,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,a,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc008,,FS008; NAxSA_08,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,b,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc009,,FS009; NAxSA_09,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,b,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc010,,FS010; NAxSA_10,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,a,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc011,,FS011; NAxSA_11,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,a,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc012,,FS012; NAxSA_12,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,b,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc013,,FS013; NAxSA_13,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,b,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc014,,FS014; NAxSA_14,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,b,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc015,,FS015; NAxSA_15,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,a,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc016,,FS016; NAxSA_16,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,a,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc017,,FS017; NAxSA_17,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,b,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc018,,FS018; NAxSA_18,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,a,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc019,,FS019; NAxSA_19,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,a,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc020,,FS020; NAxSA_20,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,b,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc021,,FS021; NAxSA_21,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,b,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc022,,FS022; NAxSA_22,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,a,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc023,,FS023; NAxSA_23,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,b,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc024,,FS024; NAxSA_24,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,a,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc025,,FS025; NAxSA_25,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,a,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc026,,FS026; NAxSA_26,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,b,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc027,,FS027; NAxSA_27,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,a,01fc genotypes.csv,1,1,1,1,1,1,1
AS01fc028,,FS028; NAxSA_28,AbxSa,AS+AE01fc 384,FALSE,Ab,Sa,0,AS01fc,AS,b,01fc genotypes.csv,1,1,1,1,1,1,1
